id,location_type,latitude,longitude,town
1,town,43.5552434,-92.0101599,Harmony
2,town,58.969975600000005,5.7331072999999995,Stavanger
3,town,45.304782200000005,-96.44506240000001,Ortonville
4,town,44.977753,-93.2650108,Minneapolis
5,town,50.515772,-3.7513949999999996,Ashburton
6,town,44.8564574,-69.8973948,North Anson
7,town,42.7852922,-88.405096,East Troy
8,town,44.782514500000005,-69.38338470000001,Pittsfield
9,town,38.638124499999996,-84.56049770000001,Williamstown
10,town,48.4499791,-96.8725616,Stephen
11,town,44.0055185,-91.4420883,Trempealeau
12,town,44.5069113,-92.905484,Cannon Falls
13,town,41.234991,-95.1374929,Griswold
14,town,39.9525839,-75.1652215,Philadelphia
15,town,44.0886059,-87.657584,Manitowoc
16,town,50.333333,26.516666999999998,Ostroh
17,town,52.486243,-1.8904009999999998,Birmingham
18,town,43.334705299999996,-90.3867928,Richland Center
19,town,44.7674614,-94.89555209999999,Bird Island
20,town,44.953702899999996,-93.0899578,St Paul
21,town,48.8802408,-97.48500279999999,Bathgate
22,town,46.82666029999999,-100.8895761,Mandan
23,town,46.82666029999999,-100.8895761,Mandan
24,plus,55.755826,37.6172999,Karson
25,plus,55.755826,37.6172999,Povno
26,town,44.2388271,-94.9741654,Springfield
27,town,58.969975600000005,5.7331072999999995,Stavanger
28,town,58.969975600000005,5.7331072999999995,Stavanger
29,town,62.0,9.233333300000002,Gudbrandsdalen
30,town,41.8781136,-87.62979820000001,Chicago
31,town,40.2769834,-85.8419246,Elwood
32,town,48.793881299999995,-97.6223098,Cavalier
33,town,48.793881299999995,-97.6223098,Cavalier
34,town,40.5580945,-90.0351167,Canton
35,town,46.8771863,-96.78980340000001,Fargo
36,town,46.2627778,-96.5869443,Breckenridge
37,town,43.7258037,-90.59151999999999,Ontario
38,town,47.6015451,-97.107522,Buxton
39,town,48.4908325,-98.2312186,Fairdale
40,town,46.2835212,-96.0777887,Fergus Falls
41,town,48.6263838,-98.0426017,Milton
42,town,63.4305149,10.3950528,Trondheim
43,town,47.6015451,-97.107522,Buxton
44,county,42.59127314,-85.8884423,
45,town,47.191583200000004,-97.2218568,Hunter
46,town,46.3557159,-94.794844,Staples
47,town,47.444438399999996,-98.1239843,Cooperstown
48,town,47.3835424,-98.03685829999999,Sverdrup
49,town,48.012765,-97.3634153,Mekinock
50,town,40.4592076,-90.67179709999999,Macomb
51,town,64.01501929999999,11.4952627,Steinkjer
52,town,46.623028000000005,-97.60148620000001,Enderlin
53,town,46.585804100000004,-97.49120409999999,Sheldon
54,town,47.9149122,-97.1728973,Grand Forks
55,town,58.969975600000005,5.7331072999999995,Stavanger
56,town,59.8937806,10.645035499999999,Oslo
57,town,47.679998499999996,-99.1378952,New Rockford
58,town,60.3912628,5.3220544,Bergen
59,town,45.0230422,-104.4124527,Alzada
60,state,46.729553,-94.6858998,Lewisburg
61,town,48.042776700000005,-98.33621490000002,Lakota
62,town,41.9322778,-78.9299665,Gowango
63,town,39.055823499999995,-95.6890185,Topeka
64,town,44.458298299999996,-93.161604,Northfield
65,town,43.3505324,-91.1020738,Ferryville
66,town,40.7127837,-74.00594129999999,New York City
67,town,45.737465,-94.95252159999998,Sauk Center
68,town,46.2554437,-99.5729,Wishek
69,town,47.078850200000005,-96.2589491,Ulen
70,town,59.41358100000001,5.2679869,Haugesund
71,town,47.6722013,-97.1067515,Reynolds
